zoneamento;tam_terreno;forma_terreno;qualidade_geral;condicao;ano_construcao;qualidade_aquecedor;ar_condicionado;tam_primeiro_andar;tam_segundo_andar;tam_sala_estar;qtde_quartos;qualidade_cozinha;qtde_banheiros;qtde_comodos;qtde_lareiras;qtde_carros_garagem;tam_garagem;tam_piscina;qualidade_piscina;mes_venda;ano_venda;preco
RL;785.03035;Reg;7;5;2003;Ex;Y;79.524968;79.339162;158.86413000000002;3;Gd;30;8;0;2;50.910844;0.0;NotAv;2;2008;846509.9999999999
RL;891.8688;Reg;6;8;1976;Ex;Y;117.24358600000001;0.0;117.24358600000001;3;TA;2;6;1;2;42.73538;0.0;NotAv;5;2007;734478.354430727
RL;1045.15875;IR1;7;5;2001;Ex;Y;85.47076;80.453998;165.924758;3;Gd;2;6;1;2;56.485023999999996;0.0;NotAv;9;2008;907410.0
RL;887.22365;IR1;7;5;1915;Gd;Y;89.279783;70.234668;159.514451;3;Gd;1;7;1;3;59.643726;0.0;NotAv;2;2006;568400.0
RL;1324.7967800000001;IR1;8;5;2000;Ex;Y;106.373935;97.826859;204.200794;4;Gd;2;9;1;3;77.66690799999999;0.0;NotAv;12;2008;1015000.0
RL;1311.3258449999998;IR1;5;5;1993;Ex;Y;73.950788;52.583098;126.53388600000001;1;TA;1;5;0;2;44.59344;0.0;NotAv;10;2009;580580.0
RL;936.833852;Reg;8;5;2004;Ex;Y;157.377682;0.0;157.377682;3;Gd;2;7;1;2;59.086307999999995;0.0;NotAv;8;2007;1246419.9999999998
RL;964.5189460000001;IR1;7;6;1973;Ex;Y;102.843621;91.323649;194.16727;3;TA;2;7;2;2;44.965052;0.0;NotAv;11;2009;811999.9999999999
RM;568.5663599999999;Reg;7;5;1931;Gd;Y;94.946866;69.863056;164.809922;2;TA;2;8;2;2;43.478604;0.0;NotAv;4;2008;527394.0
RL;689.34026;Reg;5;6;1939;Ex;Y;100.056531;0.0;100.056531;2;TA;1;5;2;1;19.045115;0.0;NotAv;1;2008;479080.0
RL;1040.5136;Reg;5;5;1965;Ex;Y;96.61912;0.0;96.61912;3;TA;1;5;0;1;35.674752000000005;0.0;NotAv;2;2008;525770.0
RL;1107.775372;IR1;9;5;2005;Ex;Y;109.811346;106.095226;215.906572;4;Ex;3;11;2;3;68.37660799999999;0.0;NotAv;7;2006;1400699.9999999998
RL;1204.7661039999998;IR2;5;6;1962;TA;Y;84.727536;0.0;84.727536;2;TA;1;4;0;1;32.701856;0.0;NotAv;9;2008;584640.0
RL;989.602756;IR1;7;5;2006;Ex;Y;138.79708200000002;0.0;138.79708200000002;3;Gd;2;7;1;3;78.03851999999999;0.0;NotAv;8;2007;1134770.0
RL;1014.50076;IR1;6;5;1960;TA;Y;116.407459;0.0;116.407459;2;TA;1;5;1;1;32.701856;0.0;NotAv;5;2008;637419.9999999999
RM;568.5663599999999;Reg;7;8;1929;Ex;Y;79.339162;0.0;79.339162;2;TA;1;5;0;2;53.512128000000004;0.0;NotAv;7;2007;535920.0
RL;1044.322623;IR1;6;7;1970;Ex;Y;93.274612;0.0;93.274612;2;TA;1;5;1;2;44.59344;0.0;NotAv;3;2010;604939.9999999999
RL;1002.5162730000001;Reg;4;5;1967;TA;Y;120.40228799999998;0.0;120.40228799999998;2;TA;2;6;0;2;47.937948;0.0;NotAv;10;2006;365400.0
RL;1272.306585;Reg;5;5;2004;Ex;Y;103.493942;0.0;103.493942;3;Gd;1;6;0;2;53.512128000000004;0.0;NotAv;6;2008;645539.9999999999
RL;702.34668;Reg;5;6;1958;TA;Y;124.397117;0.0;124.397117;3;TA;1;6;0;1;27.313482;0.0;NotAv;5;2009;564340.0
RL;1320.616145;IR1;8;5;2005;Ex;Y;107.581674;113.155854;220.73752799999997;4;Gd;3;9;1;3;79.246259;0.0;NotAv;11;2006;1320717.9999999998
